order_id,order_date,product_code,customer_id,channel_code,quantity,unit_price,currency,discount_pct,country,source_file
ORD-2166,03-24-2024,P009,C0279,ECOM,1,15.86,EUR,,IT,sales_2024.csv
ORD-3378,10/10/2022,P018,C0294,ECOM,5,25.83,EUR,10.0,IT,sales_2022.csv
ORD-2958,2024-02-17,P013,C0086,WHOLE,3,39.19,EUR,20.0,IT,sales_2024.csv
ORD-1103,2024-06-17,P001,C0135,WHOLE,2,39.6,EUR,10.0,IT,sales_2024.csv
ORD-3130,2023-09-04,P001,C0013,ECOM,5,32.99,EUR,0.0,IT,sales_2023.csv
ORD-1791,02-06-2024,P004,C0131,ECOM,4,11.21,EUR,0.0,IT,sales_2024.csv
ORD-2763,01/09/2023,P002,C0287,WHOLE,5,33.07,EUR,,IT,sales_2023.csv
ORD-2787,15/03/2025,P007,C0101,ECOM,3,21.51,EUR,10.0,IT,sales_2025.csv
ORD-2534,12-15-2023,P011,C0183,STORE,4,30.53,EUR,20.0,IT,sales_2023.csv
ORD-2433,23/09/2022,P006,C0138,WHOLE,1,26.52,EUR,0.0,IT,sales_2022.csv
ORD-1976,2022-09-29,P002,C0191,ECOM,2,27.51,EUR,10.0,IT,sales_2022.csv
ORD-1002,2022-08-23,P004,C0042,ECOM,5,11.8,EUR,20.0,IT,sales_2022.csv
ORD-2639,2025-10-25,P007,C0121,ECOM,4,21.05,EUR,0.0,IT,sales_2025.csv
ORD-2768,11-09-2025,P011,C0129,STORE,5,29.06,EUR,10.0,IT,sales_2025.csv
ORD-3361,13/04/2025,P014,C0032,STORE,5,15.52,EUR,0.0,IT,sales_2025.csv
ORD-1839,2023-12-29,P013,C0009,WHOLE,4,34.78,EUR,0.0,IT,sales_2023.csv
ORD-2521,10-15-2022,P010,C0295,STORE,3,17.44,EUR,0.0,IT,sales_2022.csv
ORD-2390,2023-12-11,P016,C0224,WHOLE,4,18.4,EUR,,IT,sales_2023.csv
ORD-3224,05-03-2024,P013,C0298,WHOLE,3,32.39,EUR,0.0,IT,sales_2024.csv
ORD-3368,19/03/2022,P019,C0156,STORE,5,18.01,EUR,20.0,IT,sales_2022.csv
ORD-1973,12/04/2022,P020,C0097,ECOM,3,30.81,EUR,10.0,IT,sales_2022.csv
ORD-2274,2022-02-11,P016,C0161,WHOLE,5,15.24,EUR,0.0,IT,sales_2022.csv
ORD-3309,2024-08-07,P011,C0259,WHOLE,2,37.94,EUR,20.0,IT,sales_2024.csv
ORD-1587,08-26-2022,P017,C0231,STORE,2,32.27,EUR,10.0,IT,sales_2022.csv
ORD-1639,10/10/2022,P011,C0250,STORE,5,37.35,EUR,0.0,IT,sales_2022.csv
ORD-2802,20/05/2025,P013,C0013,ECOM,2,35.38,EUR,0.0,IT,sales_2025.csv
ORD-1370,16/07/2025,P018,C0007,ECOM,1,28.43,EUR,,IT,sales_2025.csv
ORD-2855,21/12/2025,P002,C0248,STORE,5,30.78,EUR,10.0,IT,sales_2025.csv
ORD-1782,2025-08-11,P009,C0188,WHOLE,4,19.41,EUR,20.0,IT,sales_2025.csv
ORD-2325,2023-05-19,P003,C0054,ECOM,1,26.84,EUR,10.0,IT,sales_2023.csv
ORD-2900,2024-05-26,P003,C0096,ECOM,1,23.02,EUR,0.0,IT,sales_2024.csv
ORD-1696,22/10/2022,P015,C0123,WHOLE,1,22.34,EUR,0.0,IT,sales_2022.csv
ORD-2837,07/05/2025,P011,C0108,STORE,4,35.56,EUR,20.0,IT,sales_2025.csv
ORD-1612,31/10/2025,P003,C0176,STORE,3,24.13,EUR,0.0,IT,sales_2025.csv
ORD-3075,29/09/2022,P014,C0238,STORE,2,16.85,EUR,,IT,sales_2022.csv
ORD-1317,04/03/2024,P007,C0085,STORE,3,21.31,EUR,0.0,IT,sales_2024.csv
ORD-1615,02-17-2025,P014,C0240,ECOM,5,14.79,EUR,,IT,sales_2025.csv
ORD-3334,17/02/2023,P016,C0034,ECOM,2,17.27,EUR,0.0,IT,sales_2023.csv
ORD-2649,2025-12-31,P018,C0042,ECOM,1,27.66,EUR,,IT,sales_2025.csv
ORD-2288,28/09/2024,P007,C0216,WHOLE,4,20.29,EUR,0.0,IT,sales_2024.csv
ORD-2778,26/06/2022,P019,C0205,ECOM,5,18.87,EUR,,IT,sales_2022.csv
ORD-1768,08-05-2024,P010,C0128,ECOM,4,20.29,EUR,10.0,IT,sales_2024.csv
ORD-2111,07-10-2025,P013,C0250,WHOLE,3,36.63,EUR,10.0,IT,sales_2025.csv
ORD-3286,2022-04-12,P010,C0209,ECOM,4,20.23,EUR,20.0,IT,sales_2022.csv
ORD-3005,10/03/2023,P012,C0287,ECOM,5,29.67,EUR,0.0,IT,sales_2023.csv
ORD-3101,2025-12-08,P009,C0216,STORE,1,15.71,EUR,0.0,IT,sales_2025.csv
ORD-2486,12-28-2022,P007,C0195,WHOLE,5,25.9,EUR,10.0,IT,sales_2022.csv
ORD-1202,28/10/2023,P009,C0062,STORE,5,19.2,EUR,,IT,sales_2023.csv
